date,expiry,instrument,symbol,open,high,low,close,last_traded_price,previous_close,settlement_price,traded_quantity,traded_value_lakhs,open_interest,change_in_open_interest,market_lot,underlying_value
23-Feb-2021,25-Mar-2021,FUTIDX,BANKNIFTY,35547.6,35773.45,35066.15,35202.05,35218.45,35323.55,35202.05,1030600,364443.16,646175,148425,25,34684
23-Feb-2021,29-Apr-2021,FUTIDX,BANKNIFTY,35563.7,35820,35150,35286.4,35300,35361.5,35286.4,52275,18496.86,38125,3550,25,34684
24-Feb-2021,25-Feb-2021,FUTIDX,BANKNIFTY,35090,36553.8,35035,36468.7,36537.2,35119.85,36468.7,4915125,1760376.92,972250,-206625,25,34684
24-Feb-2021,25-Mar-2021,FUTIDX,BANKNIFTY,35149.95,36650,35100,36551.65,36644.05,35202.05,36551.65,1768050,637365.8,987550,341375,25,34684
24-Feb-2021,29-Apr-2021,FUTIDX,BANKNIFTY,35238.9,36700,35227,36647,36700,35286.4,36647,63450,22981.68,44225,6100,25,34684
25-Feb-2021,25-Feb-2021,FUTIDX,BANKNIFTY,36502,37243.4,36482.35,36555.05,36548.3,36468.7,36549,5006275,1846250.94,401150,-571100,25,34684
25-Feb-2021,25-Mar-2021,FUTIDX,BANKNIFTY,36825,37325,36637,36719.7,36719,36551.65,36719.7,3570500,1320004.38,1347950,360400,25,34684
25-Feb-2021,29-Apr-2021,FUTIDX,BANKNIFTY,36899.95,37391.8,36732.7,36794.3,36800,36647,36794.3,79025,29277.23,54375,10150,25,34684
25-Feb-2021,27-May-2021,FUTIDX,BANKNIFTY,,,,,,,,,,,,,34684
26-Feb-2021,25-Mar-2021,FUTIDX,BANKNIFTY,36000,36080,34660,34870.35,34889,36719.7,34870.35,8543850,3006183.05,1479950,132000,25,34684
26-Feb-2021,29-Apr-2021,FUTIDX,BANKNIFTY,36150.05,36150.05,34770,34947.95,34983.95,36794.3,34947.95,398975,140307.32,282325,227950,25,34684
26-Feb-2021,27-May-2021,FUTIDX,BANKNIFTY,35747.75,35949.95,34826.5,35061.4,34956.1,36892.35,35061.4,240000,84408.53,218850,218850,25,34684
01-Mar-2021,25-Mar-2021,FUTIDX,BANKNIFTY,35350,35615,34983.05,35324.55,35370,34870.35,35324.55,4430550,1564787.04,1486600,6650,25,34684
01-Mar-2021,29-Apr-2021,FUTIDX,BANKNIFTY,35480,35701.2,35097.4,35440.95,35470,34947.95,35440.95,198150,70059.96,359350,77025,25,34684
01-Mar-2021,27-May-2021,FUTIDX,BANKNIFTY,35416.8,35750,35171.35,35523.05,35545,35061.4,35523.05,101125,35747.96,292475,73625,25,34684
02-Mar-2021,25-Mar-2021,FUTIDX,BANKNIFTY,35460.05,35754.8,34983.05,35454.85,35504.2,35324.55,35454.85,5296550,1872084.26,1594025,107425,25,34684
02-Mar-2021,29-Apr-2021,FUTIDX,BANKNIFTY,35600,35844.3,35101,35577.55,35601.45,35440.95,35577.55,152150,53969.61,387175,27825,25,34684
02-Mar-2021,27-May-2021,FUTIDX,BANKNIFTY,35563.55,35901,35170,35646.25,35685,35523.05,35646.25,32725,11622.08,311600,19125,25,34684
03-Mar-2021,25-Mar-2021,FUTIDX,BANKNIFTY,35750,36580.95,35666.8,36491.75,36485,35454.85,36491.75,4746525,1716769.82,1504300,-89725,25,34684
03-Mar-2021,29-Apr-2021,FUTIDX,BANKNIFTY,35793.85,36667.8,35793.85,36584.55,36599.2,35577.55,36584.55,190800,69386.42,426950,39775,25,34684
