date,expiry,instrument,symbol,open,high,low,close,last_traded_price,previous_close,settlement_price,traded_quantity,traded_value_lakhs,open_interest,change_in_open_interest,market_lot,underlying_value
24-Nov-2021,30-Dec-2021,FUTIDX,NIFTY,17501,17640,17390.35,17447.45,17402.85,17540.55,17447.45,6018050,1056951.2,7518850,2536750,50,17415.05
24-Nov-2021,27-Jan-2022,FUTIDX,NIFTY,17411.05,17705,17411.05,17517.9,17468,17608.6,17517.9,175100,30865.73,349500,53150,50,17415.05
25-Nov-2021,25-Nov-2021,FUTIDX,NIFTY,17320.5,17558,17320.5,17526.6,17534.05,17408.1,17536.25,8634800,1509086.32,2318850,-2447150,50,
25-Nov-2021,30-Dec-2021,FUTIDX,NIFTY,17440.05,17619,17381.7,17588.95,17602,17447.45,17588.95,8281700,1452064.13,10483650,2964800,50,
25-Nov-2021,27-Jan-2022,FUTIDX,NIFTY,17480,17690.7,17406.95,17657.55,17670.55,17517.9,17657.55,393350,69279.68,500500,151000,50,
26-Nov-2021,30-Dec-2021,FUTIDX,NIFTY,17415.5,17427.95,17015.05,17052.15,17031.8,17588.95,17052.15,14397900,2477345.34,10849550,365900,50,
26-Nov-2021,27-Jan-2022,FUTIDX,NIFTY,17481.2,17482.7,17075,17119.05,17096,17657.55,17119.05,612100,105761.89,601300,100800,50,
26-Nov-2021,24-Feb-2022,FUTIDX,NIFTY,17470.25,17502.15,17131,17157.85,17140,17709.8,17157.85,113300,19583.27,35500,35500,50,
29-Nov-2021,30-Dec-2021,FUTIDX,NIFTY,17094.75,17207.85,16850.1,17094.9,17093.25,17052.15,17094.9,12155150,2075402.72,10938150,88600,50,
29-Nov-2021,27-Jan-2022,FUTIDX,NIFTY,17000,17260,16905.8,17152.5,17159.05,17119.05,17152.5,583650,100025.35,566000,-35300,50,
29-Nov-2021,24-Feb-2022,FUTIDX,NIFTY,17218.95,17290,16956.2,17193.8,17191.35,17157.85,17193.8,77500,13304.53,55550,20050,50,
30-Nov-2021,30-Dec-2021,FUTIDX,NIFTY,17089.75,17347,17000,17033.6,17036.95,17094.9,17033.6,15447700,2648356.06,11343000,404850,50,
30-Nov-2021,27-Jan-2022,FUTIDX,NIFTY,17156.05,17401,17059.9,17090.5,17096.8,17152.5,17090.5,532200,91580.55,564900,-1100,50,
30-Nov-2021,24-Feb-2022,FUTIDX,NIFTY,17195.85,17432.95,17104.35,17132.35,17129.15,17193.8,17132.35,83550,14416.27,60100,4550,50,
01-Dec-2021,30-Dec-2021,FUTIDX,NIFTY,17118.9,17250,17100.5,17221.9,17235,17033.6,17221.9,9558150,1643291.22,11724650,381650,50,17166.9
01-Dec-2021,27-Jan-2022,FUTIDX,NIFTY,17150,17305,17070.1,17280.35,17287.05,17090.5,17280.35,347550,59957.44,598450,33550,50,17166.9
01-Dec-2021,24-Feb-2022,FUTIDX,NIFTY,17199.6,17336,17198,17317.15,17328,17132.35,17317.15,58550,10119.21,71750,11650,50,17166.9
02-Dec-2021,30-Dec-2021,FUTIDX,NIFTY,17205,17444.45,17170,17432.65,17439.9,17221.9,17432.65,9307900,1613783.74,11784950,60300,50,17401.65
02-Dec-2021,27-Jan-2022,FUTIDX,NIFTY,17266.6,17495.05,17233.55,17485.05,17490.5,17280.35,17485.05,377450,65666.48,665000,66550,50,17401.65
02-Dec-2021,24-Feb-2022,FUTIDX,NIFTY,17308.7,17525,17286.7,17512.7,17520.05,17317.15,17512.7,69350,12082.27,91650,19900,50,17401.65
03-Dec-2021,30-Dec-2021,FUTIDX,NIFTY,17468.7,17515,17220,17239,17252.3,17432.65,17239,11204750,1944967.99,11289350,-495600,50,
03-Dec-2021,27-Jan-2022,FUTIDX,NIFTY,17482.1,17565,17280,17297.15,17314.2,17485.05,17297.15,521400,90803.42,634850,-30150,50,
03-Dec-2021,24-Feb-2022,FUTIDX,NIFTY,17528.2,17594.4,17314.35,17332.5,17349.95,17512.7,17332.5,76650,13373.12,86850,-4800,50,
06-Dec-2021,30-Dec-2021,FUTIDX,NIFTY,17247.7,17255.55,16942.05,16957.15,16950,17239,16957.15,8676400,1482665.57,11596500,307150,50,16912.25
06-Dec-2021,27-Jan-2022,FUTIDX,NIFTY,17444.7,17444.7,17000.1,17015.6,17007,17297.15,17015.6,458950,78675.72,675050,40200,50,16912.25
06-Dec-2021,24-Feb-2022,FUTIDX,NIFTY,17343.35,17349.55,17041.15,17053.9,17045,17332.5,17053.9,101700,17470.11,92050,5200,50,16912.25
07-Dec-2021,30-Dec-2021,FUTIDX,NIFTY,17053.8,17308.95,17016.6,17225.4,17223,16957.15,17225.4,9949700,1710162.92,11328800,-267700,50,
07-Dec-2021,27-Jan-2022,FUTIDX,NIFTY,17050.15,17358.95,17050.15,17280,17276,17015.6,17280,1037200,178842.17,749550,74500,50,
07-Dec-2021,24-Feb-2022,FUTIDX,NIFTY,17137.5,17394.8,17121.35,17314.3,17318.4,17053.9,17314.3,84100,14522.18,97300,5250,50,
08-Dec-2021,30-Dec-2021,FUTIDX,NIFTY,17343,17527.45,17327,17513.65,17511.5,17225.4,17513.65,7927450,1384049.95,11069400,-259400,50,
08-Dec-2021,27-Jan-2022,FUTIDX,NIFTY,17544.7,17580,17359.9,17568.65,17571,17280,17568.65,695500,121738.77,966550,217000,50,
08-Dec-2021,24-Feb-2022,FUTIDX,NIFTY,17588.15,17609.1,17432.25,17600.65,17600,17314.3,17600.65,86550,15181.76,110250,12950,50,
09-Dec-2021,30-Dec-2021,FUTIDX,NIFTY,17545,17590.9,17416.6,17561.4,17557,17513.65,17561.4,8561150,1499316.76,11350000,280600,50,
09-Dec-2021,27-Jan-2022,FUTIDX,NIFTY,17610,17639.8,17472.85,17624.15,17619,17568.65,17624.15,1202100,211325.31,1220650,254100,50,
09-Dec-2021,24-Feb-2022,FUTIDX,NIFTY,17640,17674,17511,17653,17646.05,17600.65,17653,77900,13719.11,115400,5150,50,
10-Dec-2021,30-Dec-2021,FUTIDX,NIFTY,17532,17585,17435.45,17559.35,17546,17561.4,17559.35,7514300,1315574.49,11091250,-258750,50,17511.3
10-Dec-2021,27-Jan-2022,FUTIDX,NIFTY,17583.55,17637.4,17500,17613.15,17599,17624.15,17613.15,606200,106622.51,1000850,-219800,50,17511.3
10-Dec-2021,24-Feb-2022,FUTIDX,NIFTY,17596.75,17675.4,17533.95,17648.45,17637,17653,17648.45,52250,9195.93,119550,4150,50,17511.3
13-Dec-2021,30-Dec-2021,FUTIDX,NIFTY,17637.65,17688,17404.25,17446.85,17462,17559.35,17446.85,9985700,1750812.59,10868700,-222550,50,17368.25
13-Dec-2021,27-Jan-2022,FUTIDX,NIFTY,17680,17737.85,17460,17502.1,17518,17613.15,17502.1,739600,129889.66,924750,-76100,50,17368.25
13-Dec-2021,24-Feb-2022,FUTIDX,NIFTY,17743.35,17774.75,17501.5,17542.65,17553.3,17648.45,17542.65,102050,17991.61,133400,13850,50,17368.25
14-Dec-2021,30-Dec-2021,FUTIDX,NIFTY,17340,17424,17230,17355.05,17352.6,17446.85,17355.05,9124650,1582192.98,11838100,969400,50,
14-Dec-2021,27-Jan-2022,FUTIDX,NIFTY,17413.8,17475.45,17325,17413.4,17410,17502.1,17413.4,421900,73375.96,964300,39550,50,
14-Dec-2021,24-Feb-2022,FUTIDX,NIFTY,17420.05,17515.45,17365,17453.3,17449,17542.65,17453.3,103100,17966,144800,11400,50,
15-Dec-2021,30-Dec-2021,FUTIDX,NIFTY,17325,17379.5,17217,17260.8,17247.65,17355.05,17260.8,8022800,1386600.65,11986800,148700,50,
15-Dec-2021,27-Jan-2022,FUTIDX,NIFTY,17398.5,17437.45,17280,17319.15,17306,17413.4,17319.15,456300,79111.05,1019150,54850,50,
15-Dec-2021,24-Feb-2022,FUTIDX,NIFTY,17448,17470,17322.9,17359.75,17355.8,17453.3,17359.75,82550,14345.77,150400,5600,50,
16-Dec-2021,30-Dec-2021,FUTIDX,NIFTY,17390,17400,17233,17317.5,17340.05,17260.8,17317.5,9365650,1620869.87,10823100,-1163700,50,
16-Dec-2021,27-Jan-2022,FUTIDX,NIFTY,17434.35,17446,17292.25,17372.05,17400,17319.15,17372.05,457050,79340.88,1017000,-2150,50,
16-Dec-2021,24-Feb-2022,FUTIDX,NIFTY,17470.65,17485.35,17340,17419.85,17440.4,17359.75,17419.85,78250,13615.51,155000,4600,50,
17-Dec-2021,30-Dec-2021,FUTIDX,NIFTY,17310.05,17310.05,17000,17023.5,17022,17317.5,17023.5,10692500,1827714.02,10921600,98500,50,
17-Dec-2021,27-Jan-2022,FUTIDX,NIFTY,17334.5,17351.5,17061.25,17083.35,17087.1,17372.05,17083.35,828000,141967.68,1128950,111950,50,
17-Dec-2021,24-Feb-2022,FUTIDX,NIFTY,17256.65,17386.2,17111,17129.9,17130,17419.85,17129.9,173600,29851.71,197800,42800,50,
20-Dec-2021,30-Dec-2021,FUTIDX,NIFTY,16848.7,16918.7,16431.3,16635.05,16628.35,17023.5,16635.05,14799450,2459922.89,10299800,-621800,50,
20-Dec-2021,27-Jan-2022,FUTIDX,NIFTY,16950.15,16950.15,16492.1,16689.05,16685,17083.35,16689.05,1830700,305286.72,1427950,299000,50,
20-Dec-2021,24-Feb-2022,FUTIDX,NIFTY,16991.05,16997.15,16540.15,16737.35,16730,17129.9,16737.35,248100,41537.23,208250,10450,50,
21-Dec-2021,30-Dec-2021,FUTIDX,NIFTY,16751,16955,16708.5,16800.95,16814,16635.05,16800.95,11706300,1970852.27,9764850,-534950,50,
21-Dec-2021,27-Jan-2022,FUTIDX,NIFTY,16797.95,17003.65,16750,16854.3,16864.4,16689.05,16854.3,1436050,242553.35,1483300,55350,50,
21-Dec-2021,24-Feb-2022,FUTIDX,NIFTY,16850,17046.7,16750,16901.5,16910.1,16737.35,16901.5,182050,30827.41,193500,-14750,50,
22-Dec-2021,30-Dec-2021,FUTIDX,NIFTY,16877,16985,16832.2,16973.35,16976.25,16800.95,16973.35,7541300,1275549.89,9661550,-103300,50,
22-Dec-2021,27-Jan-2022,FUTIDX,NIFTY,16925.45,17037.2,16887.45,17026.5,17032.55,16854.3,17026.5,962200,163209.66,1560550,77250,50,
22-Dec-2021,24-Feb-2022,FUTIDX,NIFTY,16995.7,17075,16939.8,17065.75,17073,16901.5,17065.75,101650,17287.77,196500,3000,50,
23-Dec-2021,30-Dec-2021,FUTIDX,NIFTY,17075,17150,17040.55,17078.45,17059,16973.35,17078.45,7873500,1345266.45,9752300,90750,50,
